Crypto,Date,Open,High,Low,Price,Volume,Market_Cap,1d Return,7d Return,RSI_7,Status_7,RSI_14,Status_14,RSI_21,Status_21,EMA_20,BB_mid,BB_upper,BB_lower,MACD,MACD_signal,MACD_hist,Momentum_7,Momentum_14,Momentum_30,LogReturn_7,LogReturn_14,LogReturn_30,OBV
miggles,2025-06-09 17:04:02,,,,0.031696748064236856,3098895.289755777,30420243.914173186,2.9259122494970655,-2.6954480942780465,44.36211893762304,NEUTRAL,43.2140686879358,NEUTRAL,45.17849039037111,NEUTRAL,0.03441466959857904,0.035678145762869554,0.04707849449672604,0.024277797029013067,-0.0026569298378727665,-0.0021135976517897195,-0.0005433321860830471,-0.0008780364072519253,-0.007868569919252694,-0.022166572025065764,-0.027324415714413058,-0.221738835121687,-0.5302356375372215,38795072.348720156
drb,2025-06-09 17:04:07,,,,5.422373359158571e-05,2830531.992368176,5422391.876516671,37.086632432348445,48.9582906284534,75.91233283325907,OVERBOUGHT,59.332177976985534,NEUTRAL,51.522741094839716,NEUTRAL,3.949159696690973e-05,3.750269216899509e-05,4.9592423840211255e-05,2.541296049777892e-05,-3.0565257006855986e-06,-5.243092824303249e-06,2.1865671236176503e-06,1.7821776128985696e-05,1.2270689779905756e-05,1.2065336494383885e-07,0.3984961521019269,0.25656771337743284,0.002227581714674351,-7819982.989225054
cbBTC,2025-06-09 17:04:08,,,,107763.81159424112,215090415.4304468,4837698630.149398,2.0352444667845533,1.7435424843631506,62.738085482126884,NEUTRAL,58.95948622086903,NEUTRAL,59.18070644689094,NEUTRAL,105324.82798051827,106624.85480984995,111181.20961468256,102068.50000501733,930.7301380344288,1320.8688069410043,-390.1386689065755,1846.709670250988,-1692.999135547274,3135.8435456431325,0.017285171793511175,-0.015588146274137049,0.0295310057657277,3468822634.5463824
ski,2025-06-09 17:03:59,,,,0.05649857879692775,1329669.254834306,56648275.89297206,3.8871656048143604,-12.318031058526406,39.462344397160244,NEUTRAL,42.10300921947467,NEUTRAL,45.12923728325595,NEUTRAL,0.06412408551288588,0.06699209129676326,0.08745786047875465,0.04652632211477187,-0.0046379190069293225,-0.0027494340573547505,-0.001888484949574572,-0.00793722194865052,-0.01645824082180016,-0.028794877959865718,-0.1314539070474341,-0.25565227026453685,-0.4118822591604068,12900526.342297873
WETH,2025-06-09 17:04:09,,,,2561.5962798188825,14326802262.00675,309482849342.8816,2.1050897021318393,-1.8446674686317142,53.83335971461758,NEUTRAL,55.78347892868069,NEUTRAL,57.294916983168825,NEUTRAL,2517.431107686586,2562.803207962882,2688.631312909751,2436.975103016013,52.47589759657376,80.61438040780993,-28.138482811236173,-48.140974140552316,-0.5766488203412337,-22.08662532406879,-0.01861893631489095,-0.00022508774275935227,-0.008585252691137473,-233428142557.98734
okayeg,2025-06-09 17:01:26,,,,6.375414460983163e-06,29768.256217654092,2690030.528092753,12.142933185530465,-14.073525076363724,44.49629128139669,NEUTRAL,45.68316231625464,NEUTRAL,47.72685253770883,NEUTRAL,6.966270891563687e-06,7.6126517958311745e-06,1.0368034659633897e-05,4.8572689320284514e-06,-3.5339055226190037e-07,-7.205950258788886e-08,-2.813310496740115e-07,-1.0442015149416705e-06,-2.8779750435525658e-06,-2.02093545314342e-06,-0.1516781981549845,-0.37254081490820845,-0.27534797496068736,2383152.1114233336
